feature,n_missing,pct_missing
ldl_level,4784,95.9
a1c_level,4280,85.8
bmd_spine_total,2866,57.5
serum_folate,2789,55.9
folate_wt,2664,53.4
bmd_l4,2210,44.3
bmd_l3,1933,38.8
alc_drinks_per_day,1924,38.6
bmd_l2,1846,37
bmd_femur_total,1442,28.9
bmd_femur_neck,1442,28.9
bmd_femur_troch,1442,28.9
bmd_femur_inter,1442,28.9
bmd_femur_ward,1442,28.9
bmd_l1,1421,28.5
mean_systolic,866,17.4
mean_diastolic,866,17.4
bmi,802,16.1
cigarettes_per_day,790,15.8
income_ratio,778,15.6
alp,739,14.8
phosphate,738,14.8
calcium,738,14.8
blood_lead,599,12
blood_cadmium,599,12
blood_mercury,599,12
blood_selenium,599,12
blood_manganese,599,12
father_fx_hip,317,6.4
mother_fx_hip,162,3.2
sedentary_mins_day,56,1.1
prednisone,49,1
high_choles,50,1
had_osteoporosis,24,0.5
chf,23,0.5
chd,25,0.5
arthritis,22,0.4
other_fractures,17,0.3
thyroid,13,0.3
copd,14,0.3
heart_attack,9,0.2
stroke,10,0.2
liver,11,0.2
high_bp,7,0.1
overweight,7,0.1
asthma,6,0.1
SEQN,0,0
age,0,0
gender,0,0
ethnicity,0,0
samp_wt_intrvw,0,0
samp_wt_mec,0,0
SDMVPSU,0,0
SDMVSTRA,0,0
hx_fracture,0,0
diabetes_status,0,0
cancer,2,0
