Feature,Q1,Q3,IQR,Lower_Fence,Upper_Fence,N_Below_Fence,N_Above_Fence,Total_Outliers,Pct_Outliers
cigarettes_per_day,0,0,0,0,0,0,654,654,15.58
blood_mercury,1.75,7.78,6.03,-16.34,25.87,0,205,205,4.67
blood_cadmium,1.868,5.171,3.303,-8.042,15.081,0,167,167,3.81
alc_drinks_per_day,1,2,1,-2,5,0,142,142,4.64
blood_lead,0.038,0.084,0.046,-0.1,0.222,0,98,98,2.23
alp,65,96,31,-28,189,0,29,29,0.68
blood_selenium,2.13,2.55,0.42,0.87,3.81,0,24,24,0.55
blood_manganese,127.78,200.22,72.44,-89.54,417.54,0,21,21,0.48
serum_folate,24.5,58.2,33.7,-76.6,159.3,0,15,15,0.68
calcium,2.25,2.375,0.125,1.875,2.75,2,8,10,0.24
a1c_level,6.2,7.7,1.5,1.7,12.2,0,6,6,0.85
phosphate,1.033,1.259,0.226,0.355,1.937,0,6,6,0.14
bmi,25.2,33.3,8.1,0.9,57.6,0,5,5,0.12
bmd_l4,0.918,1.173,0.255,0.153,1.938,0,5,5,0.18
bmd_femur_ward,0.445,0.663,0.218,-0.209,1.317,0,4,4,0.11
mean_diastolic,67,82.333,15.333,21,128.333,0,2,2,0.05
bmd_l3,0.919,1.168,0.249,0.172,1.915,0,2,2,0.07
bmd_femur_neck,0.667,0.859,0.192,0.091,1.435,0,1,1,0.03
bmd_femur_troch,0.608,0.787,0.179,0.071,1.324,1,0,1,0.03
bmd_l1,0.844,1.086,0.242,0.119,1.811,1,0,1,0.03
age,57,73,16,9,121,0,0,0,0
income_ratio,1.27,4.37,3.1,-8.03,13.67,0,0,0,0
mean_systolic,117.333,143.667,26.333,38.333,222.667,0,0,0,0
sedentary_mins_day,180,480,300,-720,1380,0,0,0,0
ldl_level,77,152,75,-148,377,0,0,0,0
bmd_femur_total,0.819,1.038,0.219,0.162,1.695,0,0,0,0
bmd_femur_inter,0.976,1.233,0.257,0.205,2.004,0,0,0,0
bmd_spine_total,0.888,1.117,0.229,0.201,1.804,0,0,0,0
bmd_l2,0.892,1.137,0.245,0.157,1.872,0,0,0,0
